title,link,press,date
쓰레기 재활용 로봇 업체  AMP 로보틱스  1600만 달러 투자 유치,http://www.irobotnews.com/news/articleView.html?idxno=18807,로봇신문,2019-11-17
 시그널  웨이브  2 000억 자금유치   OTT투자 롤모델 만든 SKT,https://www.sedaily.com/NewsView/1VQU0EMNNT,서울경제언론사,2019-11-17
부진경자청  광역투자유치 중심 조직 개편,https://www.sedaily.com/NewsView/1VQTZYINM9,서울경제,2019-11-17
AI 및 블록체인 보안 전문 스타트업 ‘알고리마   신한금융 시드 투자 유치,http://www.koreadaily.com/news/read.asp?art_id=7779004,미주중앙일보,2019-11-17
11억 투자 유치한 착한의사 “맞춤형 의료 플랫폼으로 키울 것”,https://www.venturesquare.net/796210,벤처스퀘어,2019-11-17
투자유치 위해 중국으로 향한 김제시,http://www.wikitree.co.kr/main/news_view.php?id=481120,위키트리,2019-11-16
카드혜택 통합관리 핀테크 기업 빅쏠  SBA 투자 유치 성공,http://www.ebn.co.kr/news/view/1009511/?sc=naver,EBN,2019-11-16
‘착한의사’ 운영사 비바이노베이션  11억원 규모 프리A 투자 유치,https://platum.kr/archives/131654,플래텀,2019-11-16
 해외기업 투자 유치  미얀마 7%대 성장률 전망,https://view.asiae.co.kr/article/2019111516252898321,아시아경제,2019-11-16
車관리앱 마카롱  현대차 제로원으로부터 투자 유치,http://www.gyotongn.com/news/articleView.html?idxno=307224,교통신문,2019-11-16
충남도 당진시  ‘박카스 기업’ 1 150억원 투자 유치,https://www.sedaily.com/NewsView/1VQT4EYB85,서울경제,2019-11-16
AI 라이프스타일 기업 ‘라라랩스’ 투자 유치,https://www.venturesquare.net/796159,벤처스퀘어,2019-11-15
빌릭스  25억 투자유치   빌리루빈 나노 플랫폼  확보,http://www.biospectator.com/view/news_view.php?varAtcId=8904,바이오스펙테이터,2019-11-15
부동산 컨설팅 법인기업 KOSAIN  필리핀의 AppleOne Properties Inc와 투자 유치 계약,http://www.ihalla.com/read.php3?aid=1573780094660955348,한라일보,2019-11-15
주스  이지이어 웹서비스로 2019 예술분야 투자유치 대회 대상 쾌거,https://www.sedaily.com/NewsView/1VQT3GERGE,서울경제,2019-11-15
MCN 기업 크리시아미디어  25억 원 투자 유치…글로벌 V커머스 시장 공략하나,http://www.etoday.co.kr/news/section/newsview.php?idxno=1822125,이투데이,2019-11-15
주스  카이스트청년창업투자지주 투자 유치    지속적인 기술 개발 예정,http://isplus.live.joins.com/news/article/aid.asp?aid=23227258,일간스포츠,2019-11-15
모바일 폐기물 수거 빼기 “투자 유치했어요”,https://www.venturesquare.net/796100,벤처스퀘어,2019-11-15
부산진해경자청  ‘투자유치’ 중심 조직개편,http://www.ekn.kr/news/article.html?no=464029,에너지경제,2019-11-15
양승조 충남도지사  귀국 직후 산화그룹 한국내화와 투자유치     中기업 600만 달러 유치 ,http://weeklytrade.co.kr/news/view.html?section=1&category=160&item=&no=59010,한국무역신문,2019-11-15
충남도  중국서 600만 달러 투자 유치… 당진에 내화물 생산공장 건립,http://www.chungnamilbo.com/news/articleView.html?idxno=520830,충남일보,2019-11-15
주스- 카이스트청년창업투자지주 투자 유치 성공,http://www.betanews.net:8080/article/1100770.html,베타뉴스,2019-11-15
동산담보 P2P  시소펀딩  VC 투자 유치,http://www.kbanker.co.kr/news/articleView.html?idxno=87330,대한금융신문,2019-11-15
주금공  싱가포르 통화청서 포상금 수령…외국계기관 MBS 투자 유치 집중,https://www.asiatime.co.kr/news/newsview.php?ncode=1065577154007439,아시아타임즈,2019-11-15
P2P금융 플랫폼 ‘시소펀딩’  벤처캐피탈 및 증권사 투자 유치,http://www.etoday.co.kr/news/section/newsview.php?idxno=1822198,이투데이,2019-11-15
‘예술분야 투자유치대회 대상’ 주스  실리콘밸리 투자유치 성공,http://www.edaily.co.kr/news/newspath.asp?newsid=02374726622685720,이데일리,2019-11-14
충남도  그린바이오식품 세계 1위 업체  투자유치,http://www.cctoday.co.kr/news/articleView.html?idxno=2035059,충청투데이,2019-11-14
양승조 김홍장  충남 당진에 벨기에 식품첨가물업체 공장 투자유치,http://www.businesspost.co.kr/BP?command=article_view&num=151006,비즈니스포스트,2019-11-14
당진 송산외투지역에 7천만 달러 투자 유치,http://news.cjhello.com/news/newsView.do?soCode=SC91000000&idx=264843,CJ헬로,2019-11-14
일진머티리얼즈 말레이시아 법인  외부 자금 6000억원 투자 유치,http://www.shinailbo.co.kr/news/articleView.html?idxno=1223437,신아일보,2019-11-14
스마트미디어 솔루션 인터브리드…15억 프리 시리즈 A 투자 유치,https://www.hankyung.com/economy/article/2019111352271,한국경제,2019-11-17
현성바이탈  미국 LDJ캐피탈로부터 120억원 외국투자 유치 13일 공시,http://www.newsworks.co.kr/news/articleView.html?idxno=410776,뉴스웍스,2019-11-14
‘낙성벤처밸리’ 창업기업 투자 유치 탄력,http://www.munhwa.com/news/view.html?no=2019111301031403021001,문화일보,2019-11-17
빛가람 에너지밸리 투자유치 기업 400곳 돌파,http://www.asiatoday.co.kr/view.php?key=20191113010007156,아시아투데이,2019-11-14
충남도  식품첨가물 분야 세계1위 기업 벨기에 베오스 투자유치,http://news1.kr/articles/?3767712,뉴스1,2019-11-13
블록체인 보안검증 알고리마  신한금융 등서 투자유치,http://www.edaily.co.kr/news/newspath.asp?newsid=02525606622685392,이데일리,2019-11-13
일진머티리얼즈 말레이법인…사모펀드 6000억 투자유치,http://news.heraldcorp.com/view.php?ud=20191113000363,헤럴드경제,2019-11-17
인터브리드  15억 규모의 프리 시리즈 A 투자유치,http://www.newsworks.co.kr/news/articleView.html?idxno=410563,뉴스웍스,2019-11-13
모바일 RPG 개발사 ‘엔퓨전’  시너지 IB투자와 빅뱅엔젤스로부터 투자 유치,https://platum.kr/archives/131385,플래텀,2019-11-13
종합 콘텐츠 기업 코핀 커뮤니케이션즈  40억 규모 시리즈A 투자 유치,https://platum.kr/archives/131381,플래텀,2019-11-13
비건베이커리 ‘더브레드블루’  4억 규모 시드투자 유치,https://platum.kr/archives/131373,플래텀,2019-11-13
방치된 원주 군부지 120만㎡ 2조4 000억원 투자 유치로 개발,http://www.kwnews.co.kr/view.asp?aid=219111200082&s=501,강원일보언론사,2019-11-13
울진군 죽변해양바이오 농공단지 특성화 투자기업 유치,http://www.dkilbo.com/news/articleView.html?idxno=197062,대경일보,2019-11-13
‘빛가람 에너지밸리’ 투자유치 순풍,http://www.jndn.com/article.php?aid=1573549501290364004,전남매일,2019-11-13
보령시  웅천 일반산업단지 외자 3000만 불 투자유치성사,http://www.m-i.kr/news/articleView.html?idxno=654372,매일일보,2019-11-13
한전  DMS 등 34개 기업과 광주 전남 에너지밸리 투자유치 협약,http://www.dt.co.kr/contents.html?article_no=2019111202109958614003&ref=naver,디지털타임스,2019-11-12
무신사  2000억 외부 투자유치 성공   2조원대 기업가치 인정,http://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2019111214262483002,MTN,2019-11-12
경북스타트업 투자매칭데이  10억 투자유치 성과,http://www.etnews.com/20191112000177,전자신문,2019-11-17
충남도-보령시  웅천일반산업단지에 3천만달러 투자유치,https://www.nocutnews.co.kr/news/5242106,노컷뉴스,2019-11-12
용인시디지털산업진흥원 1인 창조기업 투자유치를 위한 ‘액셀러레이터 쇼케이스’성료,http://www.siminilbo.co.kr/news/newsview.php?ncode=1065580620442144,시민일보,2019-11-12
시그마체인  유사코그룹서 1000만 달러 투자유치,http://www.newsworks.co.kr/news/articleView.html?idxno=410285,뉴스웍스,2019-11-12
딥러닝 기반 음성 합성 스타트업  라이언로켓   시드 투자 유치,https://view.asiae.co.kr/article/2019111210350927706,아시아경제,2019-11-12
무신사   유니콘  기업 등극…세쿼이아캐피털서 2000억원 투자 유치,http://www.newspim.com/news/view/20191112000130,뉴스핌,2019-11-12
한전  702억 원 투자유치  511명 규모의 고용 창출,http://www.ekn.kr/news/article.html?no=463311,에너지경제,2019-11-12
이인선 청장 “입주기업 니즈 파악…투자유치 박차”,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20191112.010140711210001,영남일보,2019-11-12
글로벌 투자유치 네트워킹의 장 ‘활짝’,http://www.ksmnews.co.kr/default/index_view_page.php?idx=270748&part_idx=298,경상매일신문,2019-11-12
혁신성장 이끌 글로벌 투자유치 방안 모색,http://www.idaegu.co.kr/news/articleView.html?idxno=293027,대구신문,2019-11-12
충남도  ‘세계 최고 바이오식품기업 네덜란드 프로틱스 투자유치,https://www.sedaily.com/NewsView/1VQRAB4ZOM,서울경제,2019-11-12
충남도 네덜란드 기업 투자유치 성공…보령에 1천500만불 투자,http://yna.kr/AKR20191111043200063?did=1195m,연합뉴스,2019-11-12
시몽 뷔로 전 주한캐나다 상공회의소장  비수도권도 글로벌 마인드 갖추면 외국인투자 유치 가능 ,https://news.imaeil.com/Economy/2019111116402392347,매일신문,2019-11-12
암호화폐 거래소 베론재단  화홍 에셋 매니지먼트와 1억달러 규모 투자 유치,http://www.kidstvnews.co.kr/view.php?ud=201911111542413716cf2d78c68_29,키즈TV,2019-11-12
AI 앱 테스트 엠비안  22억원 투자유치  스틱벤처스 등 참여,http://news.mt.co.kr/mtview.php?no=2019111111464386415,머니투데이,2019-11-11
 시그널  매출쑥   50억 투자 유치 나선 블리스팩,https://www.sedaily.com/NewsView/1VQR9R4YFI,서울경제언론사,2019-11-17
베론 재단 VERON Foundation   중국자산운용사 화홍 에셋 매니지먼트 투자유치,http://www.ksilbo.co.kr/news/articleView.html?idxno=736444,경상일보,2019-11-11
UIPA  3D프린팅 기술강소기업 투자유치 MOU,http://amenews.kr/news/view.php?idx=40749,신소재경제신문,2019-11-11
삼성 투자 유치한 엠닥 “한국 시장 공략 강화할 것”,https://www.venturesquare.net/795454,벤처스퀘어,2019-11-11
양승조 충남지사 투자유치 위해 유럽 출장,https://tjmbc.co.kr/article/7KjwNbe-yq,대전MBC,2019-11-11
이제네시스  돼지 신장 인간 이식 시대 연다…1억달러 투자 유치,http://news1.kr/articles/?3765098,뉴스1,2019-11-11
